playerID,nameFirst,nameLast,bbrefID,mlbamID,pos
lindgje01,Jeff,Lindgren,lindgje01,689167,P
myersda01,Dane,Myers,myersda01,667472,CF
perezeu02,Eury,Pérez,perezeu02,691587,P
soriage01,George,Soriano,soriage01,666277,P
britojh01,Jhony,Brito,britojh01,666745,P
dominja01,Jasson,Domínguez,dominja01,691176,LF
gomezyo01,Yoendrys,Gómez,gomezyo01,672782,P
krookma01,Matt,Krook,krookma01,640454,P
pereiev01,Everson,Pereira,pereiev01,677592,CF
vasqura02,Randy,Vásquez,vasqura02,681190,P
volpean01,Anthony,Volpe,volpean01,683011,SS
wellsau01,Austin,Wells,wellsau01,669224,C
andrecl02,Clayton,Andrews,andrecl02,677076,P
boushca01,Caleb,Boushley,boushca01,676961,P
frelisa01,Sal,Frelick,frelisa01,686217,RF
monasan01,Andruw,Monasterio,monasan01,655316,3B
perkibl01,Blake,Perkins,perkibl01,663368,CF
turanbr02,Brice,Turang,turanbr02,668930,2B
uribeab01,Abner,Uribe,uribeab01,682842,P
varlagu01,Gus,Varland,varlagu01,681402,P
wiemejo01,Joey,Wiemer,wiemejo01,686894,LF
adamsjo03,Jordyn,Adams,adamsjo03,677941,CF
bachmsa01,Sam,Bachman,bachmsa01,696147,P
cabbatr01,Trey,Cabbage,cabbatr01,663550,1B
cacerke01,Kelvin,Cáceres,cacerke01,680983,P
danieda01,Davis,Daniel,danieda01,669721,P
ingrako01,Kolton,Ingram,ingrako01,688427,P
joycebe01,Ben,Joyce,joycebe01,690829,P
medervi01,Victor,Mederos,medervi01,682989,P
netoza01,Zach,Neto,netoza01,687263,SS
parisky01,Kyren,Paris,parisky01,677347,2B
schanno01,Nolan,Schanuel,schanno01,694384,1B
soriajo02,José,Soriano,soriajo02,667755,P
ceccosl01,Slade,Cecconi,ceccosl01,677944,P
fletcdo01,Dominic,Fletcher,fletcdo01,666150,RF
jarvibr01,Bryce,Jarvis,jarvibr01,686826,P
lawlajo01,Jordan,Lawlar,lawlajo01,691783,SS
martiju01,Justin,Martinez,martiju01,679885,P
pfaadbr01,Brandon,Pfaadt,pfaadbr01,694297,P
saalfan01,Andrew,Saalfrank,saalfan01,685314,P
vargaca01,Carlos,Vargas,vargaca01,672841,P
cowseco01,Colton,Cowser,cowseco01,681297,LF
